SC-1										
	s^考	s^(而-2)*(P≡s)								
4	3.503507537	1.161863396	1.162526109	1.162409473	1.162575706	1.162902729	1.163317614			
5	4.793236085	1.1755055	1.176411379	1.1765537	1.176922809	1.177116771	1.177777545			
6	6.557745895	1.183862618	1.184881081	1.185223659	1.185700757	1.186155212	1.186919325			
7	8.971815795	1.188681354	1.189510787	1.190127344	1.19094081	1.19142874	1.192430898			
8	12.27456506	1.1907402	1.191497296	1.192723484	1.194221206	1.194744763	1.195970977			
9	16.79313875	1.191283581	1.192153244	1.193768187	1.195774321	1.196890027	1.198444556			
10	22.97511217	1.19023251	1.191467543	1.19385713	1.196370385	1.19773583	1.20026527			
11	31.43282426	1.187912755	1.189801525	1.19307847	1.196412855	1.198735356	1.201633158			
12	43.00403122	1.184471398	1.187607978	1.191536811	1.195625644	1.199611185	1.204104507			
13	58.8348882	1.178939125	1.18382583	1.189879918	1.194537083	1.200316263	1.206571814			
14	80.49347866	1.171597808	1.178134297	1.186479454	1.193428186	1.201177996	1.209211139			
15	110.1251367	1.161293601	1.171443979	1.181832264	1.192114591	1.202989702	1.213586013			
16	150.6649475	1.147108128	1.161624361	1.175989704	1.18998336	1.205420319	1.219486177			
										
f(s)=s^(而-2)*(P≡s)		g(s)=s^考			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.09761	-0.000349915				
					0.09762	-0.028653917				
					0.09763	-0.000144119				
					0.09764	-5.25713E-05				
					0.09765	5.99563E-05				
					0.09766	0.00014554				
										
SC-4										
	s^考	s^(而-2)*(P≡s)								
log_2^(s)		0.3111	0.3112	0.3113	0.3114	0.3115	0.3116	0.3117	0.3118	0.3119
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.018231645	1.018407039	1.018371912	1.018578617	1.01857243	1.018707378	1.018765181	1.018892298	1.019112232
2	1.871765887	1.060531176	1.060970913	1.061024367	1.061425814	1.061549118	1.061870981	1.062000432	1.062317548	1.06255103
3	2.560809617	1.093048481	1.093853989	1.09403767	1.094592628	1.094811992	1.095543708	1.095689374	1.096311324	1.096861188
4	3.503507537	1.114331926	1.115487465	1.116012502	1.116678181	1.117294393	1.118346907	1.118642377	1.119584837	1.12048387
5	4.793236085	1.127225765	1.128748319	1.129689602	1.130703338	1.131847632	1.133340843	1.134143296	1.135500217	1.136716365
6	6.557745895	1.133644817	1.135708866	1.137318436	1.139070674	1.140539843	1.142858165	1.144064073	1.145906027	1.14798834
7	8.971815795	1.134979028	1.138032237	1.140498678	1.143055102	1.145451802	1.148558765	1.150567919	1.153121825	1.156150236
8	12.27456506	1.1325301	1.136725901	1.140275742	1.144097039	1.147643692	1.15179669	1.155019445	1.158735881	1.162892482
9	16.79313875	1.126290733	1.131972673	1.137537794	1.142771776	1.147858501	1.153357572	1.158317598	1.163638573	1.169188016
10	22.97511217	1.11627283	1.123995973	1.131878769	1.139138089	1.146448966	1.154271797	1.161005371	1.168538937	1.176505385
