BCC-1										
	s^σ	s^(τ-2)*(P≥s)								
					0.06272	-0.000205329				
					0.06273	-8.43578E-05				
					0.06274	6.8651E-05				
					0.06275	0.000230378				
					0.06276	0.000364237				
					0.06277	0.000497052				
										
BCC-24										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.06575	0.06576	0.06577	0.06578	0.06579	0.0658	0.06581	0.06582	0.06583
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	0.991839614	0.991948594	0.991956904	0.991932749	0.991891536	0.991987423	0.992151028	0.992193735	0.992202566
2	1.871765887	1.017758782	1.017808888	1.018116027	1.017963055	1.018027436	1.018231322	1.018385852	1.018253289	1.018358392
3	2.560809617	1.048362814	1.048393594	1.048722409	1.048712249	1.048696934	1.049330568	1.049285541	1.04936503	1.049304512
4	3.503507537	1.071487525	1.071732881	1.072153856	1.072147601	1.072261225	1.073182257	1.073353627	1.073216852	1.073507884
5	4.793236085	1.087248339	1.087952125	1.088299687	1.088289587	1.088868482	1.089869168	1.089731004	1.090192022	1.090618726
6	6.557745895	1.097454976	1.098409059	1.099138734	1.099526366	1.100222031	1.101478616	1.101350731	1.102409173	1.102747729
7	8.971815795	1.103433404	1.104763221	1.105786458	1.106916244	1.107233602	1.109559694	1.109222706	1.111098679	1.11110896
8	12.27456506	1.106769656	1.108398375	1.109841506	1.111501194	1.112066351	1.114645454	1.115049609	1.117482554	1.117679113
9	16.79313875	1.107679177	1.109862328	1.111663921	1.114393534	1.115305206	1.11882043	1.119598276	1.122944526	1.123288089
10	22.97511217	1.106720176	1.109584183	1.112659176	1.116100899	1.118177628	1.122507501	1.123578121	1.128217564	1.129125795
11	31.43282426	1.104513117	1.108089275	1.112419651	1.117602451	1.120813146	1.126130227	1.128147584	1.133915369	1.136022376
12	43.00403122	1.101019036	1.105778061	1.111603778	1.118634547	1.123612357	1.130045928	1.133690697	1.140968769	1.144917076
13	58.8348882	1.095488572	1.102544799	1.110314239	1.119397504	1.1262305	1.135206001	1.141074822	1.150441102	1.156778521
14	80.49347866	1.087704755	1.09780217	1.108430698	1.12018004	1.130265803	1.142280258	1.150915249	1.163202769	1.172048278
15	110.1251367	1.077485931	1.091547601	1.1063184	1.121846462	1.135721889	1.151209777	1.163738818	1.180366823	1.193305741
16	150.6649475	1.062981223	1.08241927	1.102567153	1.123721858	1.142199653	1.16433448	1.181858827	1.203970464	1.222581296
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.06575	-0.000357789				
					0.06576	-0.026700156				
					0.06577	-9.25324E-05				
					0.06578	4.62606E-05				
					0.06579	0.000159788				
					0.0658	0.000323749				
					0.06581	0.000446968				
					0.06582	0.000582234				
					0.06583	0.000722143				
										
BCC-34										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.05747	0.05748	0.05749	0.0575	0.05751	0.05752	0.05753	0.05754	0.05755
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.004578094	1.004599806	1.004638666	1.004700968	1.004718051	1.004676096	1.004970783	1.004864053	1.005172534
2	1.871765887	1.036955563	1.037033896	1.037045236	1.037141634	1.037208946	1.037389265	1.037766722	1.037787393	1.038102228
3	2.560809617	1.070716503	1.071146775	1.071182738	1.071378498	1.071641517	1.071787163	1.072472855	1.072434921	1.07280995
4	3.503507537	1.094472795	1.094679152	1.094942746	1.095278162	1.095646362	1.095661218	1.096725759	1.097024547	1.097277394
5	4.793236085	1.109606565	1.109988951	1.110784389	1.110815246	1.111719347	1.111884502	1.113354804	1.113643387	1.114022989
6	6.557745895	1.11920909	1.119418736	1.120440071	1.120975261	1.122181767	1.122706566	1.124296154	1.125059439	1.125528966
7	8.971815795	1.124460982	1.124795533	1.126332018	1.127406547	1.128832883	1.129730205	1.131543649	1.132791444	1.133485302
8	12.27456506	1.12640745	1.127070534	1.129188236	1.1308273	1.132346527	1.134161201	1.136502648	1.137883464	1.139666275
9	16.79313875	1.126298115	1.127439207	1.130023274	1.13264918	1.134614863	1.137223241	1.140014903	1.142650117	1.144917809
10	22.97511217	1.123991065	1.125908706	1.12926475	1.13300156	1.135757722	1.139152074	1.143315061	1.14668697	1.15024087
11	31.43282426	1.119516978	1.122828425	1.127270133	1.132449564	1.136485004	1.141153523	1.146677149	1.151227883	1.15606619
12	43.00403122	1.112922831	1.11750291	1.123787301	1.130769467	1.137220656	1.143025952	1.150763554	1.157006972	1.163808106
13	58.8348882	1.102683876	1.110353498	1.119166822	1.128633821	1.137441435	1.146049176	1.156053562	1.164567662	1.173449018
14	80.49347866	1.08918634	1.099548061	1.112655512	1.125095171	1.136909036	1.14913468	1.162224988	1.174243129	1.187295435
15	110.1251367	1.070017606	1.085491067	1.10353958	1.120542464	1.137373107	1.153918466	1.171603723	1.188072235	1.206044237
16	150.6649475	1.044825669	1.066653144	1.091234751	1.113091798	1.136767855	1.160252452	1.184384692	1.206664655	1.231447861
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.05747	-0.000621412				
					0.05748	-0.026311251				
					0.05749	-0.000303525				
					0.0575	-0.000183786				
					0.05751	-1.49298E-05				
					0.05752	0.000156241				
					0.05753	0.00031527				
					0.05754	0.000458621				
					0.05755	0.000626634				
										
BCC-124										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.06017	0.06018	0.06019	0.0602	0.06021	0.06022	0.06023	0.06024	0.06025
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.032048613	1.032368031	1.032184493	1.032413782	1.032244805	1.032305803	1.032339519	1.032275193	1.032329523
2	1.871765887	1.077478821	1.0779367	1.077842253	1.078004047	1.078035299	1.07817477	1.078200871	1.078316143	1.07811104
3	2.560809617	1.111160158	1.111866798	1.111549041	1.111945471	1.111835969	1.112019966	1.112329623	1.11243198	1.112329285
4	3.503507537	1.134086569	1.135019613	1.134976167	1.135756104	1.135583907	1.135667736	1.136195029	1.136440221	1.136405057
5	4.793236085	1.148891397	1.150347321	1.150319405	1.151225889	1.151585027	1.151892821	1.152329268	1.152767783	1.152837079
6	6.557745895	1.158040045	1.15963154	1.159795463	1.16101954	1.161531379	1.162184477	1.163152864	1.163663167	1.163536555
7	8.971815795	1.163005674	1.164444632	1.165131316	1.166593952	1.167382709	1.168879864	1.170197204	1.171043523	1.17081927
8	12.27456506	1.164154471	1.166291338	1.167712427	1.169204756	1.17065478	1.17269404	1.175033018	1.175830997	1.176442575
9	16.79313875	1.163122841	1.166119981	1.168063622	1.169710317	1.172109434	1.174764127	1.178324348	1.179471781	1.180751197
10	22.97511217	1.159925063	1.163788755	1.166675113	1.169354417	1.172725082	1.176060129	1.180570827	1.182796658	1.185011468
11	31.43282426	1.154624482	1.159579339	1.16367081	1.167669406	1.171678266	1.177153545	1.182908751	1.185879917	1.189214836
