FCC-1										
	s^σ	s^(τ-2)*(P≥s)								
					0.05533	-0.000100767				
					0.05534	6.4199E-05				
					0.05535	0.000220771				
					0.05536	0.000386091				
										
FCC-124										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.07513	0.07514	0.07515	0.07516	0.07517				
0	1	1	1	1	1	1				
1	1.368124953	1.030474768	1.030710726	1.030583111	1.030680117	1.030718266				
2	1.871765887	1.063682281	1.06425993	1.064062148	1.064054558	1.064424697				
3	2.560809617	1.091070107	1.091578259	1.09140266	1.091668722	1.091996289				
4	3.503507537	1.111217126	1.111470732	1.111268833	1.111463505	1.112610648				
5	4.793236085	1.124758302	1.125037674	1.124858553	1.125302163	1.126578241				
6	6.557745895	1.133431484	1.133837087	1.134009899	1.134637534	1.136241207				
7	8.971815795	1.138606387	1.139355909	1.13951483	1.141179273	1.142696049				
8	12.27456506	1.14162969	1.142563355	1.143239827	1.144987675	1.147286069				
9	16.79313875	1.143234112	1.144300777	1.145583253	1.147565233	1.150432477				
10	22.97511217	1.142763013	1.144877303	1.146420102	1.149309142	1.152511643				
11	31.43282426	1.141593664	1.144917105	1.14779987	1.150814542	1.155487151				
12	43.00403122	1.139712504	1.144101483	1.148855557	1.153130252	1.159270747				
13	58.8348882	1.13640155	1.142781246	1.149091268	1.155842111	1.163827303				
14	80.49347866	1.131234054	1.140634938	1.149624487	1.15899083	1.170186519				
15	110.1251367	1.124550489	1.138176839	1.150234864	1.163443881	1.178866399				
16	150.6649475	1.11589954	1.133911982	1.151223713	1.169120348	1.18936882				
										
f(s)=s^(τ-2)*(P≥s)		g(s)=s^σ			p	d(f(2^16)-f(2^15)/d(g(2^16)-g(2^15))				
					0.07513	-0.000213394				
					0.07514	-0.027970332				
					0.07515	2.4392E-05				
					0.07516	0.000140022				
					0.07517	0.000259064				
										
FCC-134										
	s^σ	s^(τ-2)*(P≥s)								
log_2^(s)		0.05128	0.05129	0.0513	0.05131	0.05132	0.05133	0.05134	0.05135	0.05136
0	1	1	1	1	1	1	1	1	1	1
1	1.368124953	1.048784545	1.048963711	1.049217927	1.049223821	1.049007588	1.048993617	1.049224051	1.04914146	1.049309528
2	1.871765887	1.094461583	1.094747052	1.094976437	1.095190371	1.094895473	1.094982519	1.095236544	1.095256175	1.095446609
3	2.560809617	1.127736256	1.128218396	1.128065364	1.128657833	1.128541836	1.128817387	1.129049997	1.129127807	1.129207266
4	3.503507537	1.149844262	1.150459739	1.150671001	1.151030052	1.151371003	1.151558048	1.152192315	1.152402302	1.152574183
5	4.793236085	1.163805856	1.1646157	1.165234307	1.165566407	1.166078149	1.166551156	1.167497665	1.167724109	1.168292937
6	6.557745895	1.171597835	1.172848697	1.173340596	1.17418633	1.175131471	1.176195665	1.177254746	1.177552316	1.17849362
